     Geometric_Altitude[m]   Geopotential_Altitude[m]   Temperature[K]          Pressure[N/m^2]
  0.000000000000e+00  0.000000000000e+00  2.881500000000e+02  1.01325000000000e+05
  1.101906783200e+04  1.100000000000e+04  2.166500000000e+02  2.26320405677384e+04
  2.006312368170e+04  2.000000000000e+04  2.166500000000e+02  5.47487764691023e+03
  3.216190322298e+04  3.200000000000e+04  2.286500000000e+02  8.68015834193578e+02
  4.735009222212e+04  4.700000000000e+04  2.706500000000e+02  1.10905783903207e+02
  5.242888189665e+04  5.200000000000e+04  2.706500000000e+02  5.90006375704397e+01
  6.159103213175e+04  6.100000000000e+04  2.526500000000e+02  1.82099653899421e+01
  7.999414345804e+04  7.900000000000e+04  1.806500000000e+02  1.03770352835349e+00
