#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],                de [deg],                dr [deg],          tau [per-unit],           dadot [deg/s],           dedot [deg/s],           drdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],        deddot [deg/s/s],        drddot [deg/s/s],  tauddot [per-unit/s/s]
 9.9933377748167879e-02, -1.2263963667157896e+00,  9.1795307199413543e+00,  1.7380915733899069e+01,  1.5360465888549763e+02,  1.5080720591970417e+01,  1.8766277126923179e+00,  6.3395575666538370e+01,  2.0904952855125263e-02, -4.7928422947734362e-02,  1.7835239612817752e+01,  1.7417669368635269e+00,  5.6947229500666185e-01,  7.9946702198534298e+00,  5.9960026648900726e+00, -1.1992005329780145e+01, -1.3289665919248295e-03,  7.9999999999999943e+01,  5.9999999999999993e+01, -1.1865106759472685e+02, -1.3980015087810733e-02, -8.8936305233902248e-12,  0.0000000000000000e+00,  2.6996633870862541e+02,  9.6195609750562867e-03
 1.0992671552298468e-01, -1.3500528419633611e+00,  1.0280086792957094e+01,  1.8476816261753012e+01,  1.4812760095678311e+02,  1.4238289721032437e+01,  1.9132961117080598e+00,  6.9734283400442791e+01,  2.7851979333511287e-02, -6.2183691339669167e-02,  1.9348089424520865e+01,  1.8746404024690624e+00,  6.3427957318107497e-01,  8.7941372418387722e+00,  6.5956029313790800e+00, -1.3164245188435581e+01, -1.4681932674089349e-03,  7.9999999999999943e+01,  5.6834217348999168e+01, -1.0343764967071155e+02, -1.3850626210657562e-02,  8.8936305233902248e-12, -6.3357863455363145e+02,  2.7747457018176383e+03,  1.6275466305865009e-02
 1.1992005329780146e-01, -1.4694958082216090e+00,  1.1355975912433097e+01,  1.9439702216763461e+01,  1.4251908191255868e+02,  1.3342297627773075e+01,  2.0117849204856908e+00,  7.6072728459126807e+01,  3.6246089712856380e-02, -7.8831235083271167e-02,  2.0805762109828017e+01,  1.9973946890876344e+00,  7.0018118430732512e-01,  9.5936042638241155e+00,  7.1319297271618751e+00, -1.4059380073365320e+01, -1.6057945641564930e-03,  7.9999999999999986e+01,  4.5528335861345617e+01, -7.6365558649205738e+01, -1.3657246818990654e-02,  0.0000000000000000e+00, -1.6291051138420980e+03,  2.6432821146197225e+03,  2.2426195946405336e-02
 1.2991339107261826e-01, -1.5834355103000917e+00,  1.2395405369085132e+01,  2.0270386152684924e+01,  1.3680024900774782e+02,  1.2408721298586412e+01,  2.1622865364292121e+00,  8.2410883337636420e+01,  4.6238248294641106e-02, -9.7982056173350429e-02,  2.2207025064312049e+01,  2.1094913424028552e+00,  7.6694489031933999e-01,  1.0393071285809459e+01,  7.5055630085545424e+00, -1.4690538832323771e+01, -1.7411562284813664e-03,  7.9999999999999986e+01,  3.0255747907987093e+01, -5.2027657253928290e+01, -1.3407923882603080e-02,  0.0000000000000000e+00, -1.4274488218900533e+03,  2.2275432179551353e+03,  2.7471634389294612e-02
 1.3990672884743505e-01, -1.6906853700147622e+00,  1.3388055970974248e+01,  2.0972369536928976e+01,  1.3098940840318679e+02,  1.1456682921968232e+01,  2.3558173395235946e+00,  8.8748725380292569e+01,  5.7977836978137631e-02, -1.1971096858178498e-01,  2.3550838296128617e+01,  2.2105967809191163e+00,  8.3430840656408578e-01,  1.1192538307794802e+01,  7.7366415441103182e+00, -1.5099239978507125e+01, -1.8737743885922642e-03,  8.0000000000000043e+01,  1.7138512588502817e+01, -3.1513896000149476e+01, -1.3113470914587384e-02,  0.0000000000000000e+00, -1.1977472067160700e+03,  1.8779442009678037e+03,  3.1458219609581867e-02
 1.4990006662225183e-01, -1.7902927667666972e+00,  1.4325037106547743e+01,  2.1550795238401559e+01,  1.2510229843855140e+02,  1.0501901574355291e+01,  2.5841747575898113e+00,  9.5086237149796432e+01,  7.1609272281704078e-02, -1.4405918256670702e-01,  2.4836329028118740e+01,  2.3005670654264683e+00,  9.0200400718906060e-01,  1.1992005329780145e+01,  7.8481048990642588e+00, -1.5320396846983654e+01, -2.0032509169807811e-03,  8.0000000000000043e+01,  6.1773821400690450e+00, -1.4218590951632132e+01, -1.2783640372044828e-02,  0.0000000000000000e+00, -9.9594036703047652e+02,  1.5834228494088018e+03,  3.4551866304601858e-02
 1.5989340439706862e-01, -1.8815387757027793e+00,  1.5198836260738602e+01,  2.2012047936379840e+01,  1.1915247957472320e+02,  9.5571117765205056e+00,  2.8398549458489266e+00,  1.0142340608138805e+02,  8.7270087036284472e-02, -1.7103886342556507e-01,  2.6062769616397077e+01,  2.3794162226649216e+00,  9.6977112717606906e-01,  1.2791472351765488e+01,  7.8601068766899793e+00, -1.5383422342630352e+01, -2.1292768610515211e-03,  8.0000000000000043e+01, -2.8935007415806422e+00,  3.6287681248041237e-01, -1.2426577257214315e-02,  0.0000000000000000e+00, -8.1944566035034825e+02,  1.3348148991155899e+03,  3.6908365076811299e-02
 1.6988674217188540e-01, -1.9639276664086083e+00,  1.6003255870074238e+01,  2.2363408160774814e+01,  1.1315165786565443e+02,  8.6324473800096708e+00,  3.1159871011168372e+00,  1.0776022401586187e+02,  1.0508956812921257e-01, -2.0063729362118465e-01,  2.7229558719060510e+01,  2.4472883465312658e+00,  1.0373648292970581e+00,  1.3590939373750832e+01,  7.7902734385396624e+00, -1.5313144145868122e+01, -2.2516168848131790e-03,  8.0000000000000043e+01, -1.0314960138625827e+01,  1.2651400786246482e+01, -1.2048936282895408e-02,  0.0000000000000000e+00, -6.6583574697829533e+02,  1.1245283655007936e+03,  3.8670181916879244e-02
 1.7988007994670219e-01, -2.0371694814956527e+00,  1.6733340595364680e+01,  2.2612754920548131e+01,  1.0710995381476400e+02,  7.7357926797474237e+00,  3.4062799599944480e+00,  1.1409668667187991e+02,  1.2518785931992732e-01, -2.3282065689090814e-01,  2.8336205117782125e+01,  2.5044331970418487e+00,  1.1045609686713012e+00,  1.4390406395736175e+01,  7.6539451150918616e+00, -1.5130562899867265e+01, -2.3700950412559596e-03,  8.0000000000000043e+01, -1.6304326338745735e+01,  2.2998512392839295e+01, -1.1656027148378136e-02,  0.0000000000000000e+00, -5.3283607520570285e+02,  9.4627357069864922e+02,  3.9964032871177876e-02
 1.8987341772151897e-01, -2.1011584550496991e+00,  1.7385297648841181e+01,  2.2768313093591647e+01,  1.0103612636786387e+02,  6.8731012425221865e+00,  3.7049770589191677e+00,  1.2043279310216506e+02,  1.4767544166515909e-01, -2.6753745469795831e-01,  2.9382313721935702e+01,  2.5511850789175186e+00,  1.1711588224748075e+00,  1.5189873417721518e+01,  7.4644041579518063e+00, -1.4853480340548217e+01, -2.4845821176255334e-03,  7.9999999999999957e+01, -2.1056951193318419e+01,  3.1698273518562086e+01, -1.1251977923311505e-02, -1.7787261046780475e-11, -4.1832257902277689e+02,  7.9483862259600619e+02,  4.0899685372156880e-02
