-1.000000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.703003785103472445e-02,1.035799151284227041e-15,-7.051789605825874441e-01,4.565971362780550365e-16,1.739695803842186139e-01,-4.476742404620047322e-16
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.611179486454005605e-02,-3.531712912445150038e-02,-5.777984265786696438e-01,3.464541162231607463e-02,2.068186770133567318e-02,1.060874349106350097e-02
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.250800525182591577e-02,2.223786976574379862e-02,-5.822716821185903724e-01,3.856531921047154365e-02,2.215933677961187676e-02,-1.147024953237505557e-02
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.235987755982988157e-01,0.000000000000000000e+00,5.120631297953809336e-02,6.334098985045105197e-16,-6.281095487168982805e-01,7.863979714528511339e-16,9.006860972239927321e-02,-2.889753493451081504e-16
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.235987755982988157e-01,4.600825938615422245e-02,-1.820781319000461598e-02,-5.809497038895714560e-01,6.169578242598165512e-04,2.383416857532915864e-02,7.097440266444514888e-03
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.610025896793311373e-02,5.402740903079978763e-16,-5.801271975621387078e-01,1.027702160661341856e-15,2.305977953628227453e-02,-2.757092067128332644e-16
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988157e-01,4.587966589728807026e-02,1.820577743612668969e-02,-5.809627078032888470e-01,-6.173868689660755695e-04,2.375956666048413199e-02,-7.096614961305065285e-03
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,3.891525527112527777e-02,3.980961972438620848e-16,-5.336183030731674881e-01,1.375725456246576346e-15,-4.269945326458633728e-02,-2.288673724561894157e-16
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.256014727781398665e-02,-2.223926167127410203e-02,-5.822702470532404861e-01,-3.856568292444170071e-02,2.221397025903021002e-02,1.147086929142941865e-02
-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.584150831002888837e-02,3.530894056290221489e-02,-5.778311102855890891e-01,-3.464659712066492370e-02,2.055920154173466671e-02,-1.060582573777796821e-02
