numberIndependentVariables,"""=""",1,
alpha[deg],DCxq,DCzq,DCmq
-20,-15.298,-504.203,-412.931
-15,-15.298,-504.203,-412.931
-10,-15.298,-504.203,-412.931
-5,-6.30254,-1478.23,-30.9397
0,16.0428,-1655.85,-299.657
5,50.4203,-1822.01,-296.792
10,55.0039,-1776.17,-356.953
15,45.2637,-1942.33,-363.255
20,41.253,-1850.65,-398.206
25,23.4913,-1627.2,-487.587
30,38.7319,-1816.28,-450.345
35,38.5601,-1907.95,-465.242
40,41.8259,-2268.91,-446.907
45,37.8152,-2059.78,-378.152
