numberIndependentVariables,"""=""",1,
alpha[deg],DCyp,DClp,DCnp
-20,-6.17076,-20.6265,3.48931
-15,-6.17076,-20.6265,3.48931
-10,-6.17076,-20.6265,3.48931
-5,-6.18794,-20.5692,2.95073
0,-10.9721,-25.4966,3.06532
5,7.33386,-23.7205,-0.487014
10,10.8289,-20.0535,0.68182
15,10.4278,-17.246,1.10008
20,24.0069,-17.3033,1.18029
25,26.8144,-20.0535,8.69177
30,30.5959,-17.8763,10.7945
35,-6.47442,8.70896,21.1421
40,2.46372,4.23989,36.2109
45,-137.395,-0.171887,19.8243
