numberIndependentVariables,"""=""",1,
alpha[deg],DCyrlef,DClrlef,DCnrlef
-20,73.2722,-3.80806,-17.9898
-15,73.2722,-3.80806,-17.9898
-10,73.2722,-3.80806,-17.9898
-5,25.9998,-22.9796,-12.8686
0,14.0504,-8.73226,-4.85855
5,-3.54543,-4.72724,-2.101
10,11.1615,-0.919186,-0.919186
15,6.04036,-8.66661,-1.83837
20,-43.4644,-26.3938,13.5252
25,-28.2321,-0.787874,12.8686
30,-56.4643,8.92923,40.7068
35,7.87874,70.5147,57.3835
40,49.1108,103.343,-21.9291
45,24.5554,51.737,-11.0302
