numberIndependentVariables,"""=""",1,
alpha[deg],DCypf,DClpf,DCnpf
-20,18.515,-0.787874,-8.0757
-15,18.515,-0.787874,-8.0757
-10,18.515,-0.787874,-8.0757
-5,-9.06055,-2.36362,-1.19494
0,25.8685,13.1312,-8.01005
5,-7.89187,-2.62625,-1.69393
10,15.8888,-7.61611,-5.76461
15,6.82824,-11.4242,-6.72319
20,-9.84842,-3.54543,3.86058
25,-13.9191,7.35349,-0.223231
30,10.111,10.7676,-7.66864
35,84.3025,-47.535,-27.7069
40,33.4846,-25.4746,-51.4744
45,16.808,-12.7373,-25.7372
