numberIndependentVariables,"""=""",9,,,,,,,,,,,,
velocity,elevator,aileron,rudder,p,q,r,alpha,beta,Cx,Cy,Cz,Cl,Cm,Cn
100,-20,-10,-30,-90,-30,-30,5,0,0.066004273,-0.009326832,0.025012353,6.01E-05,0.006978785,0.001379699
100,-20,-10,-30,-90,-30,-30,5,2,0.065996821,-0.009552128,0.02519138,7.16E-05,0.007002344,0.00141127
100,-20,-10,-30,-90,-30,-30,5,4,0.06598789,-0.009777065,0.025371158,8.31E-05,0.007025762,0.00144279
100,-20,-10,-30,-90,-30,-30,5,6,0.065977481,-0.010001644,0.025551692,9.46E-05,0.007049039,0.00147426
100,-20,-10,-30,-90,-30,-30,5,8,0.065965595,-0.010225864,0.025732982,0.000106129,0.007072177,0.001505678
100,-20,-10,-30,-90,-30,-30,10,-8,0.065306427,-0.008470005,0.026019237,1.52E-05,0.007336455,0.001234445
100,-20,-10,-30,-90,-30,-30,10,-6,0.065442782,-0.008608832,0.025820116,2.49E-05,0.007267809,0.001257022
100,-20,-10,-30,-90,-30,-30,10,-4,0.065577812,-0.008747608,0.025621832,3.45E-05,0.007199039,0.001279592
100,-20,-10,-30,-90,-30,-30,10,-2,0.065711516,-0.008886331,0.025424382,4.41E-05,0.007130145,0.001302154
100,-20,-10,-30,-90,-30,-30,10,0,0.065843894,-0.009025003,0.025227763,5.37E-05,0.007061128,0.001324708
100,-20,-10,-30,-90,-30,-30,10,2,0.065836478,-0.00925028,0.025406644,6.52E-05,0.007084632,0.00135628
100,-20,-10,-30,-90,-30,-30,10,4,0.065827584,-0.009475197,0.025586278,7.67E-05,0.007107995,0.0013878
100,-20,-10,-30,-90,-30,-30,10,6,0.065817211,-0.009699755,0.025766667,8.82E-05,0.007131218,0.00141927
100,-20,-10,-30,-90,-30,-30,10,8,0.065805362,-0.009923955,0.025947814,9.97E-05,0.007154302,0.001450688
100,-20,-10,-30,-90,-30,-30,15,-8,0.065153214,-0.00820555,0.026234182,7.84E-06,0.0074184,0.001184314
100,-20,-10,-30,-90,-30,-30,15,-6,0.065289597,-0.008344389,0.026034925,1.75E-05,0.007349703,0.001206892
100,-20,-10,-30,-90,-30,-30,15,-4,0.065424654,-0.008483175,0.025836506,2.71E-05,0.007280883,0.001229463
100,-20,-10,-30,-90,-30,-30,15,-2,0.065558386,-0.00862191,0.025638921,3.67E-05,0.007211939,0.001252026
100,-20,-10,-30,-90,-30,-30,15,0,0.065690791,-0.008760593,0.025442167,4.63E-05,0.007142871,0.001274581
100,-20,-10,-30,-90,-30,-30,15,2,0.065683409,-0.00898585,0.025620918,5.78E-05,0.007166327,0.001306153
100,-20,-10,-30,-90,-30,-30,15,4,0.065674548,-0.009210747,0.025800422,6.94E-05,0.007189641,0.001337674
100,-20,-10,-30,-90,-30,-30,15,6,0.065664209,-0.009435285,0.025980681,8.09E-05,0.007212814,0.001369144
100,-20,-10,-30,-90,-30,-30,15,8,0.065652392,-0.009659465,0.026161698,9.24E-05,0.00723585,0.001400563
100,-20,-10,-30,-90,-30,-30,20,-8,0.065007793,-0.00797821,0.026447684,-4.48E-07,0.007499566,0.001139012
100,-20,-10,-30,-90,-30,-30,20,-6,0.065144201,-0.008117056,0.026248306,9.23E-06,0.007430824,0.001161592
100,-20,-10,-30,-90,-30,-30,20,-4,0.065279283,-0.008255851,0.026049767,1.89E-05,0.007361959,0.001184164
