#              time [s],              Vxb [ft/s],              Vyb [ft/s],              Vzb [ft/s],               p [deg/s],               q [deg/s],               r [deg/s],                 xf [ft],                 yf [ft],                 zf [ft],               phi [deg],             theta [deg],               psi [deg],                da [deg],               deB [deg],                dB [deg],          tau [per-unit],           dadot [deg/s],          deBdot [deg/s],           dBdot [deg/s],     taudot [per-unit/s],        daddot [deg/s/s],       deBddot [deg/s/s],        dBddot [deg/s/s],  tauddot [per-unit/s/s]
 0.0000000000000000e+00,  6.3373754649187003e+02,  0.0000000000000000e+00,  2.9274167134191860e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5000000000000000e+04,  0.0000000000000000e+00,  2.6447774345355031e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.8612076072747838e-02,  0.0000000000000000e+00,  2.7323873900889811e-01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5601805780689276e+01, -1.9292821395517332e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.2670225830732406e+02,  2.0976580521002091e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.9933377748167886e-03,  6.3373754642400831e+02,  1.4685913757594835e-04,  2.9274184132832595e+01,  2.3611831233913836e-02,  1.2146365136431902e-04, -5.8205101242779001e-04,  6.3399065516672293e+00,  2.8495197772369864e-07, -1.4999999999957508e+04,  7.9626599143644623e-05,  2.6447778495984569e+00, -1.9670900036858481e-06, -1.5591411506351707e-01,  3.6684079264401669e-02,  4.9966688874083942e-01,  2.7323873900889811e-01, -4.9886971506154863e-02,  4.1506158424267964e-07, -1.9649949700238029e-06, -1.4469049659899849e+01, -1.8244691122982251e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  2.2670225830732406e+02,  2.0976580521002091e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.9986675549633577e-02,  6.3373754517500436e+02,  7.9710026999615198e-04,  2.9274245504466251e+01,  8.9147875176247837e-02,  4.3980156595927746e-04, -2.1987352484558694e-03,  1.2679813115466509e+01,  2.1823270911034892e-06, -1.4999999999687878e+04,  6.1061351455258639e-04,  2.6447805146875201e+00, -1.5089814873145695e-05, -2.8918820106395432e-01,  3.4965568852964576e-02,  9.9933377748167884e-01,  2.7323873900889811e-01, -9.9322067933567737e-02,  3.0800716736337839e-06, -1.5073757658944836e-05, -1.2321074922584675e+01, -1.7006188925264054e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  2.0317908578735268e+02,  3.8099767959980857e-01,  1.1117038154237789e-12,  0.0000000000000000e+00
 2.9980013324450366e-02,  6.3373754157839915e+02,  2.2247866015948923e-03,  2.9274364029758111e+01,  1.8933340458874229e-01,  9.0396244023245099e-04, -4.6711595746618921e-03,  1.9019719696927218e+01,  7.0527089492734947e-06, -1.4999999999028087e+04,  1.9744119303987157e-03,  2.6447871244426371e+00, -4.8807364019244586e-05, -4.0217144196394361e-01,  3.3285107460551425e-02,  1.4990006662225184e+00,  2.7323873900889811e-01, -1.4792340253613365e-01,  9.6890669450048967e-06, -4.8755539907031643e-05, -1.0398853640599308e+01, -1.7213787665477176e-01,  5.0000000000000000e+01,  0.0000000000000000e+00,  1.8152146678065222e+02, -7.9647195834633666e-01, -2.2234076308475578e-12,  0.0000000000000000e+00
 3.9973351099267154e-02,  6.3373753488444106e+02,  4.6549566250207322e-03,  2.9274549981775429e+01,  3.1772730014583506e-01,  1.4814825925109371e-03, -7.8388394738897003e-03,  2.5359626297432914e+01,  1.6027319305957544e-05, -1.4999999997862995e+04,  4.4840812378916682e-03,  2.6447989630202842e+00, -1.1086299013483748e-04, -4.9702671486673861e-01,  3.1525104962462809e-02,  1.9986675549633577e+00,  2.7323873900889811e-01, -1.9537755861065731e-01,  2.1524150774318248e-05, -1.1074573073278141e-04, -8.6843669549272207e+00, -1.8368602914245308e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.6160446857852187e+02, -1.5146982928549442e+00,  2.2234076308475586e-12,  0.0000000000000000e+00
 4.9966688874083939e-02,  6.3373752464339123e+02,  8.2689837103755472e-03,  2.9274812098788178e+01,  4.6864873110007876e-01,  2.1525292727709411e-03, -1.1557650069959145e-02,  3.1699532916917391e+01,  3.0051668685214385e-05, -1.4999999996107981e+04,  8.3922404233048656e-03,  2.6448170603992551e+00, -2.0747736307103129e-04, -5.7574306664603325e-01,  2.9613834393080678e-02,  2.4983344437041972e+00,  2.7323873900889811e-01, -2.4143163010476609e-01,  3.9610685144155496e-05, -2.0725922069090135e-04, -7.1607775442924337e+00, -2.0054133519026268e-01,  5.0000000000000007e+01,  0.0000000000000000e+00,  1.4331655880318638e+02, -1.8586102908466551e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 5.9960026648900731e-02,  6.3373751062097517e+02,  1.3209460615041206e-02,  2.9275158068801762e+01,  6.3710928095629582e-01,  2.9049351412576466e-03, -1.5698168834301966e-02,  3.8039439555916459e+01,  4.9923402318052872e-05, -1.4999999993698064e+04,  1.3898315289289347e-02,  2.6448422940042491e+00, -3.4350345270891435e-04, -6.4014685232761337e-01,  2.7516950361724715e-02,  2.9980013324450367e+00,  2.7323873900889811e-01, -2.8588596724414733e-01,  6.4817858809349414e-05, -3.4314531638577006e-04, -5.8123035135648253e+00, -2.1939351365834514e-01,  5.0000000000000014e+01,  0.0000000000000000e+00,  1.2655804387976521e+02, -1.9143390265655624e+00,  4.4468152616951124e-12,  0.0000000000000000e+00
 6.9953364423717523e-02,  6.3373749274074510e+02,  1.9584659758511220e-02,  2.9275594650919533e+01,  8.1874997410238293e-01,  3.7302621742584499e-03, -2.0144325956974924e-02,  4.4379346217070179e+01,  7.6325165177594040e-05, -1.4999999990582348e+04,  2.1155132989972403e-02,  2.6448754456271022e+00, -5.2256645053231797e-04, -6.9191169116764872e-01,  2.5228887417897229e-02,  3.4976682211858767e+00,  2.7323873900889811e-01, -3.2858757553707518e-01,  9.7914766090932524e-05, -5.2202770006127587e-04, -4.6241119072967622e+00, -2.3777113172055472e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  1.1123870292135011e+02, -1.7636349349513021e+00, -1.3340445785085347e-11,  0.0000000000000000e+00
 7.9946702198534308e-02,  6.3373747104798895e+02,  2.7472609110650026e-02,  2.9276127549253456e+01,  1.0097827354426927e+00,  4.6208735271292397e-03, -2.4792281557571967e-02,  5.0719252906171320e+01,  1.0985317244189438e-04, -1.4999999986722556e+04,  3.0274910323703080e-02,  2.6449172237983722e+00, -7.4719140753810366e-04, -7.3256747672395106e-01,  2.2764695896956798e-02,  3.9973351099267154e+00,  2.7323873900889811e-01, -3.6942412158901738e-01,  1.3959223260991748e-04, -7.4643209931112659e-04, -3.5822376786373304e+00, -2.5397214025402803e-01,  4.9999999999999986e+01,  0.0000000000000000e+00,  9.7275059374357923e+01, -1.4787269062144719e+00,  8.8936305233902377e-12,  0.0000000000000000e+00
 8.9940039973351094e-02,  6.3373744569000064e+02,  3.6924814547095890e-02,  2.9276761138367451e+01,  1.2069359069219245e+00,  5.5679252206793511e-03, -2.9549459257579073e-02,  5.7059159632851689e+01,  1.5104204617630019e-04, -1.4999999982094472e+04,  4.1334678037512389e-02,  2.6449682612610141e+00, -1.0189205086268826e-03, -7.6350871339224557e-01,  2.0152828651993939e-02,  4.4970019986675549e+00,  2.7323873900889811e-01, -4.0831850338480874e-01,  1.9046007204794163e-04, -1.0179035706392291e-03, -2.6735288391817056e+00, -2.6695224817627106e-01,  5.0000000000000028e+01,  0.0000000000000000e+00,  8.4587869695361192e+01, -1.1190253592904356e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
