numberIndependentVariables,"""=""",2.0,,
beta[deg],alpha[deg],Cy,Cn,Cl
-2.0,30.0,0.03850,0.00810,-0.01960
-2.0,35.0,0.02470,0.01780,-0.01790
-2.0,40.0,0.01040,0.01270,0.00080
-2.0,45.0,-0.02510,0.01410,-0.00490
0.0,-20.0,0.01310,-0.00960,-0.02330
0.0,-15.0,0.01560,-0.01080,-0.03120
0.0,-10.0,0.02170,-0.01080,-0.04040
0.0,-5.0,0.01950,-0.01130,-0.05180
0.0,0.0,0.02120,-0.00990,-0.05100
0.0,5.0,0.02370,-0.00770,-0.05250
0.0,10.0,0.02360,-0.00560,-0.04440
0.0,15.0,0.02270,-0.00370,-0.04360
0.0,20.0,0.01920,-0.00260,-0.02970
0.0,25.0,0.01180,-0.00060,-0.02580
0.0,30.0,0.01140,0.00430,-0.02220
0.0,35.0,0.01120,0.00680,-0.02040
0.0,40.0,-0.01010,0.00620,-0.01430
0.0,45.0,-0.04700,0.00690,-0.01100
2.0,-20.0,-0.01830,-0.00540,-0.02310
2.0,-15.0,-0.01820,-0.00460,-0.03290
2.0,-10.0,-0.01490,-0.00400,-0.04080
2.0,-5.0,-0.01390,-0.00500,-0.05270
2.0,0.0,-0.01760,-0.00270,-0.05390
2.0,5.0,-0.01570,-0.00080,-0.05720
2.0,10.0,-0.01590,0.00150,-0.04910
2.0,15.0,-0.01470,0.00240,-0.04780
2.0,20.0,-0.01260,0.00040,-0.03500
2.0,25.0,-0.01530,0.00040,-0.03030
2.0,30.0,-0.01270,-0.00050,-0.03170
2.0,35.0,-0.01930,0.00020,-0.02420
2.0,40.0,-0.03080,-0.00170,-0.01600
2.0,45.0,-0.09150,-0.01050,-0.01470
4.0,-20.0,-0.04500,-0.00290,-0.02560
4.0,-15.0,-0.05270,0.00170,-0.03330
4.0,-10.0,-0.05030,0.00270,-0.04110
4.0,-5.0,-0.05450,0.00240,-0.05310
4.0,0.0,-0.05490,0.00420,-0.05660
4.0,5.0,-0.05220,0.00550,-0.06160
4.0,10.0,-0.05100,0.00790,-0.05410
4.0,15.0,-0.05070,0.00800,-0.05150
4.0,20.0,-0.04590,0.00450,-0.04130
4.0,25.0,-0.04230,0.00240,-0.03660
4.0,30.0,-0.04490,-0.00440,-0.03560
4.0,35.0,-0.04310,-0.00470,-0.02590
4.0,40.0,-0.05840,-0.00790,-0.02730
