numberIndependentVariables,"""=""",1.0,
alpha[deg],dCy_p,dCn_p,dCl_p
-20.0,-0.14100,0.06150,0.006
-15.0,-0.14100,0.06150,0.00600
-10.0,-0.14100,0.06150,0.00600
-5.0,0.06900,0.00910,0.01800
0.0,-0.19700,0.06100,-0.10000
5.0,0.06010,0.01290,0.02000
10.0,-0.12100,0.04390,0.05800
15.0,-0.05200,0.05120,0.08700
20.0,0.07500,-0.02940,0.02700
25.0,0.10600,0.00170,-0.05600
30.0,-0.07700,0.05840,-0.08200
35.0,-0.64200,0.21100,0.36200
40.0,-0.25500,0.39200,0.19400
45.0,-0.12800,0.19600,0.09700
