numberIndependentVariables,"""=""",1.0
alpha[deg],dCn_da,
-20.0,0.00000,
-15.0,0.00000,
-10.0,0.00000,
-5.0,0.00000,
0.0,0.00010,
5.0,0.00008,
10.0,0.00016,
15.0,0.00010,
20.0,0.00000,
25.0,0.00000,
30.0,0.00000,
35.0,0.00000,
40.0,0.00000,
45.0,0.00000,
50.0,0.00000,
55.0,0.00000,
60.0,0.00000,
70.0,0.00000,
80.0,0.00000,
90.0,0.00000,
